id_paper,id_data,species,order,sex,genital/non-genital,organ/structure,morphological_measurement,environmental_condition,plasticity/robustness,author,title,year,journal,doi
229,103,Apis mellifera,Hymenoptera,female,non-genital,ovary ,developmental rate,caste ,plasticity,Formesyn; Ellen M. and Cardoen; Dries and Ernst; Ulrich R. and Danneels; Ellen L. and Van Vaerenbergh; Matthias and De Koker; Dieter and Verleyen; Peter and Wenseleers; Tom and Schoofs; Liliane and de Graaf; Dirk C.,Reproduction of honeybee workers is regulated by epidermal growth factor receptor signaling,2014,GENERAL AND COMPARATIVE ENDOCRINOLOGY,10.1016/j.ygcen.2013.12.001
234,104,Bicyclus anynana,Lepidoptera,female,non-genital,ovary ,size,temperature,plasticity,Steigenga; Marc J. and Fischer; Klaus,"Ovarian dynamics, egg size, and egg number in relation to temperature and mating status in a butterfly",2007,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,10.1111/j.1570-7458.2007.00610.x
236,105,Halyomorpha halys,Hemiptera,male,non-genital,testicle,developmental rate,photoperiod ,plasticity,Niva; CC and Takeda; M,"Effects of photoperiod, temperature and melatonin on nymphal development, polyphenism and reproduction in <i>Halyomorpha halys</i> (heteroptera: Pentatomidae)",2003,ZOOLOGICAL SCIENCE,10.2108/zsj.20.963
236,106,Halyomorpha halys,Hemiptera,male,non-genital,testicle,developmental rate,diet,plasticity,Niva; CC and Takeda; M,"Effects of photoperiod, temperature and melatonin on nymphal development, polyphenism and reproduction in <i>Halyomorpha halys</i> (heteroptera: Pentatomidae)",2003,ZOOLOGICAL SCIENCE,10.2108/zsj.20.963
238,107,Oncopeltus fasciatu,Coleoptera,female,non-genital,ovary ,size,diet,plasticity,Moore; Patricia J. and Attisano; Alfredo,Oosorption in response to poor food: complexity in the trade-off between reproduction and survival,2011,ECOLOGY AND EVOLUTION,10.1002/ece3.4
245,108,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste ,plasticity,Lago; Denyse Cavalcante and Humann; Fernanda Carvalho and Barchuk; Angel Roberto and Abraham; Kuruvilla Joseph and Hartfelder; Klaus,"Differential gene expression underlying ovarian phenotype determination in honey bee, <i>Apis mellifera</i> L., caste development",2016,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,10.1016/j.ibmb.2016.10.001
246,109,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste ,plasticity,Kuszewska; Karolina and Woyciechowski; Michal,"Reversion in honeybee, <i>Apis mellifera</i>, workers with different life expectancies",2013,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2012.10.033
254,110,Orgyia thyellina,Lepidoptera,female,non-genital,ovary ,size,seasonality,plasticity,Uehara; Hiroshi and Senoh; Yukiko and Yoneda; Kyohei and Kato; Yoshiomi and Shiomi; Kunihiro,An FXPRLamide Neuropeptide Induces Seasonal Reproductive Polyphenism Underlying a Life-History Tradeoff in the Tussock Moth,2011,PLOS ONE,10.1371/journal.pone.0024213
256,111,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,diet,plasticity,Linksvayer; T. A. and Kaftanoglu; O. and Akyol; E. and Blatch; S. and Amdam; G. V. and Page; Jr.; R. E.,Larval and nurse worker control of developmental plasticity and the evolution of honey bee queen-worker dimorphism,2011,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/j.1420-9101.2011.02331.x
261,112,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste,plasticity,Humann; Fernanda C. and Tiberio; Gustavo J. and Hartfelder; Klaus,Sequence and Expression Characteristics of Long Noncoding RNAs in Honey Bee Caste Development - Potential Novel Regulators for Transgressive Ovary Size,2013,PLOS ONE,10.1371/journal.pone.0078915
262,113,Drosophila melanogaster,Diptera,female,non-genital,ovary ,size,diet,plasticity,Hodin; J and Riddiford; LM,Different mechanisms underlie phenotypic plasticity and interspecific variation for a reproductive character in drosophilids (Insecta: Diptera),2000,EVOLUTION,NA
262,114,Drosophila melanogaster,Diptera,female,non-genital,ovary ,size,temperature,plasticity,Hodin; J and Riddiford; LM,Different mechanisms underlie phenotypic plasticity and interspecific variation for a reproductive character in drosophilids (Insecta: Diptera),2000,EVOLUTION,NA
263,115,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste ,plasticity,Sasaki; Ken and Harada; Mariko,Dopamine production in the brain is associated with caste-specific morphology and behavior in an artificial intermediate honey bee caste,2020,PLOS ONE,10.1371/journal.pone.0244140
263,116,Apis mellifera,Hymenoptera,female,genital,spermatheca,size,caste ,plasticity,Sasaki; Ken and Harada; Mariko,Dopamine production in the brain is associated with caste-specific morphology and behavior in an artificial intermediate honey bee caste,2020,PLOS ONE,10.1371/journal.pone.0244140
267,117,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste ,plasticity,Kilaso; Manlika and Chapman; Nadine C. and Remnant; Emily J. and Oldroyd; Benjamin P. and Chanchao; Chanpen,No evidence that DNA methylation is associated with the regulation of fertility in the adult honey bee <i>Apis mellifera</i> (Hymenoptera: Apidae) worker ovary,2017,AUSTRAL ENTOMOLOGY,10.1111/aen.12218
270,118,Apis mellifera,Hymenoptera,female,non-genital,ovary ,developmental rate,caste,plasticity,Ronai; Isobel and Barton; Deborah A. and Oldroyd; Benjamin P. and Vergoz; Vanina,Regulation of oogenesis in honey bee workers via programed cell death,2015,JOURNAL OF INSECT PHYSIOLOGY,10.1016/j.jinsphys.2015.06.014
271,119,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste ,plasticity,Guidugli; KR and Hepperle; C and Hartfelder; K,A member of the short-chain dehydrogenase/reductase (SDR) superfamily is a target of the ecdysone response in honey bee (<i>Apis mellifera</i>) caste development,2004,APIDOLOGIE,10.1051/apido:2003068
272,120,Xylocopa virginica,Hymenoptera,female,non-genital,ovary ,developmental rate,caste,plasticity,Vickruck; J. L. and Richards; M. H.,Linear dominance hierarchies and conditional reproductive strategies in a facultatively social carpenter bee,2018,INSECTES SOCIAUX,10.1007/s00040-018-0653-4
